track 687: IDENTIFIED as 28 (LOCKED, conf=0.92)
track 690: IDENTIFIED as 19 (CANDIDATE, conf=0.41)
track 691: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 692: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 693: IDENTIFIED as 19 (UNKNOWN, conf=0.47)
track 694: IDENTIFIED as 29 (CONFIRMED, conf=0.71)
track 696: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 704: NOT RECOGNIZED — best sim 0.24 -> 01 (threshold 0.45)
track 714: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 717: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 719: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 723: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
