track 872: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 873: NOT RECOGNIZED — face never detected (2 looks)
track 875: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 876: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 880: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 881: IDENTIFIED as 05 (UNKNOWN, conf=0.56)
track 883: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 885: IDENTIFIED as 28 (CANDIDATE, conf=0.44)
track 887: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 888: IDENTIFIED as 29 (CONFIRMED, conf=0.82)
track 890: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 897: IDENTIFIED as 05 (UNKNOWN, conf=0.60)
track 898: IDENTIFIED as 11 (UNKNOWN, conf=0.33)
track 899: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 901: IDENTIFIED as 11 (UNKNOWN, conf=0.32)
track 902: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 905: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 906: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 911: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 917: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 922: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 923: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 925: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 932: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 937: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 942: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
